nu,p,h,Total KSP Iterations,SNES Solve Time,DoFs/Sec in SNES,L2 Error
0.499999,1,12,60,1.77203,0.135201,1.8164020e-01
0.499999,1,13,69,2.20961,0.161882,1.7672290e-01
0.499999,1,14,78,2.61856,0.196328,1.7266960e-01
0.499999,1,15,88,3.35274,0.216067,1.6927100e-01
0.499999,2,4,387,0.244049,1.63173,3.6080520e-01
0.499999,2,5,645,0.779036,1.81072,1.2348730e-01
0.499999,2,6,876,1.77482,1.97083,5.8245830e-02
0.499999,2,7,1053,3.45541,2.00854,3.6938480e-02
0.499999,2,8,1252,6.19935,2.04481,2.6890270e-02
0.499999,2,9,1404,9.87639,2.09526,2.0784020e-02
0.499999,2,10,1566,15.0378,2.14283,1.6608050e-02
0.499999,2,11,1722,22.7147,2.10623,1.3581520e-02
0.499999,2,12,1819,30.7972,2.15589,1.1309160e-02
0.499999,2,13,1927,43.5717,2.07309,9.5586570e-03
0.499999,2,14,2074,60.2855,2.03146,8.1819190e-03
0.499999,2,15,2105,82.4795,1.86733,7.0801110e-03
0.499999,3,4,662,1.43501,1.84205,2.7434500e-02
0.499999,3,5,994,4.11743,1.98731,5.9856600e-03
0.499999,3,6,1279,9.33538,2.01933,2.4633360e-03
0.499999,3,7,1569,18.0862,2.08203,1.4317510e-03
0.499999,3,8,1754,31.2699,2.04743,9.3998900e-04
0.499999,3,9,1921,47.5135,2.13183,6.5442360e-04
0.499999,3,10,2108,78.2651,1.97069,4.7410770e-04
0.499999,3,11,2247,103.355,2.13718,3.5431490e-04
0.499999,3,12,2345,142.508,2.11655,2.7160670e-04
0.499999,3,13,2453,192.73,2.09517,2.1271060e-04
0.499999,3,14,2555,244.33,2.16216,1.6964520e-04
0.499999,3,15,2658,332.196,2.04475,1.3743540e-04
0.499999,4,4,1095,4.56731,2.42744,5.7661500e-04
0.499999,4,5,1566,12.9605,2.48628,1.8514460e-04
0.499999,4,6,2079,29.1266,2.60537,8.5892860e-05
0.499999,4,7,2465,55.9185,2.603,4.5907030e-05
0.499999,4,8,2758,95.1,2.59191,2.6809960e-05
0.499999,4,9,2981,149.954,2.55699,1.6803520e-05
0.499999,4,10,3247,232.942,2.48056,1.1022150e-05
0.499999,4,11,3408,323.971,2.50911,7.5447180e-06
0.499999,4,12,3554,448.877,2.46607,5.3499470e-06
0.499999,4,13,3642,579.652,2.50037,3.9919250e-06
0.499999,4,14,3695,749.607,2.46031,3.1763940e-06
0.499999,4,15,3817,950.511,2.47424,2.3781120e-06
